,user,favorite_count,retweet_count
2135,4196983835,467,175
2136,4196983835,315,65
2137,4196983835,532,182
2138,4196983835,395,112
2139,4196983835,246,62
2140,4196983835,849,428
2141,4196983835,286,71
2142,4196983835,550,96
2143,4196983835,410,117
2144,4196983835,373,143
2145,4196983835,704,309
2146,4196983835,851,475
2147,4196983835,3736,1944
2148,4196983835,1001,395
2149,4196983835,543,162
2150,4196983835,1576,1006
2151,4196983835,461,155
2152,4196983835,1675,1074
2153,4196983835,246,61
2154,4196983835,406,132
2155,4196983835,381,82
2156,4196983835,1411,781
2157,4196983835,519,195
2158,4196983835,482,171
2159,4196983835,661,249
2160,4196983835,384,134
2161,4196983835,2869,1374
2162,4196983835,682,278
2163,4196983835,468,204
2164,4196983835,1068,447
2165,4196983835,607,125
2166,4196983835,520,221
2167,4196983835,953,417
2168,4196983835,467,181
2169,4196983835,1067,514
2170,4196983835,688,333
2171,4196983835,777,398
2172,4196983835,603,269
2173,4196983835,21963,6881
2174,4196983835,460,251
2175,4196983835,789,378
2176,4196983835,716,352
2177,4196983835,953,513
2178,4196983835,574,182
2179,4196983835,567,333
2180,4196983835,834,377
2181,4196983835,1377,633
2182,4196983835,157,25
2183,4196983835,748,261
2184,4196983835,298,77
2185,4196983835,281,62
2186,4196983835,334,107
2187,4196983835,416,163
2188,4196983835,556,321
2189,4196983835,476,178
2190,4196983835,461,150
2191,4196983835,603,289
2192,4196983835,740,403
2193,4196983835,555,233
2194,4196983835,950,582
2195,4196983835,930,571
2196,4196983835,1131,571
2197,4196983835,1101,520
2198,4196983835,2992,1769
2199,4196983835,754,346
2200,4196983835,336,122
2201,4196983835,417,140
2202,4196983835,1533,844
2203,4196983835,211,45
2204,4196983835,645,338
2205,4196983835,1747,1162
2206,4196983835,260,62
2207,4196983835,551,248
2208,4196983835,488,230
2209,4196983835,260,78
2210,4196983835,491,240
2211,4196983835,342,115
2212,4196983835,433,145
2213,4196983835,448,250
2214,4196983835,487,162
2215,4196983835,933,553
2216,4196983835,649,318
2217,4196983835,261,34
2218,4196983835,530,149
2219,4196983835,875,248
2220,4196983835,582,258
2221,4196983835,1375,663
2222,4196983835,1047,523
2223,4196983835,6547,3066
2224,4196983835,322,114
2225,4196983835,533,214
2226,4196983835,583,205
2227,4196983835,688,208
2228,4196983835,521,207
2229,4196983835,518,335
2230,4196983835,590,305
2231,4196983835,701,264
2232,4196983835,1345,854
2233,4196983835,315,119
2234,4196983835,220,59
2235,4196983835,518,325
2236,4196983835,890,394
2237,4196983835,1993,1168
2238,4196983835,857,522
2239,4196983835,408,127
2240,4196983835,660,436
2241,4196983835,3141,1098
2242,4196983835,252,84
2243,4196983835,300,68
2244,4196983835,1099,528
2245,4196983835,344,101
2246,4196983835,728,356
2247,4196983835,430,257
2248,4196983835,242,61
2249,4196983835,471,237
2250,4196983835,394,160
2251,4196983835,514,340
2252,4196983835,0,37
2253,4196983835,0,34
2254,4196983835,6073,2436
2255,4196983835,348,135
2256,4196983835,909,560
2257,4196983835,214,72
2258,4196983835,858,571
2259,4196983835,494,260
2260,4196983835,1785,1186
2261,4196983835,387,203
2262,4196983835,7096,2253
2263,4196983835,559,230
2264,4196983835,553,293
2265,4196983835,554,237
2266,4196983835,271,101
2267,4196983835,200,66
2268,4196983835,325,95
2269,4196983835,821,615
2270,4196983835,476,255
2271,4196983835,322,88
2272,4196983835,487,232
2273,4196983835,206,60
2274,4196983835,384,171
2275,4196983835,511,257
2276,4196983835,651,279
2277,4196983835,410,114
2278,4196983835,778,446
2279,4196983835,14982,6561
2280,4196983835,198,58
2281,4196983835,632,482
2282,4196983835,259,87
2283,4196983835,230,98
2284,4196983835,2797,1224
2285,4196983835,265,66
2286,4196983835,49414,18113
2287,4196983835,4807,2356
2288,4196983835,343,134
2289,4196983835,343,131
2290,4196983835,419,131
2291,4196983835,86,14
2292,4196983835,173,50
2293,4196983835,224,57
2294,4196983835,195,52
2295,4196983835,465,237
2296,4196983835,254,101
2297,4196983835,2653,1034
2298,4196983835,848,577
2299,4196983835,222,82
2300,4196983835,263,103
2301,4196983835,535,263
2302,4196983835,248,94
2303,4196983835,797,516
2304,4196983835,399,208
2305,4196983835,363,184
2306,4196983835,241,69
2307,4196983835,447,228
2308,4196983835,193,50
2309,4196983835,913,601
2310,4196983835,236,87
2311,4196983835,539,218
2312,4196983835,106,22
2313,4196983835,130,51
2314,4196983835,170,54
2315,4196983835,326,202
2316,4196983835,169,89
2317,4196983835,323,117
2318,4196983835,128,47
2319,4196983835,457,337
2320,4196983835,112,42
2321,4196983835,170,90
2322,4196983835,193,95
2323,4196983835,799,588
2324,4196983835,226,74
2325,4196983835,305,144
2326,4196983835,202,95
2327,4196983835,514,365
2328,4196983835,151,70
2329,4196983835,181,80
2330,4196983835,107,36
2331,4196983835,14633,6799
2332,4196983835,80,14
2333,4196983835,159,72
2334,4196983835,165,77
2335,4196983835,119,46
2336,4196983835,331,172
2337,4196983835,153,65
2338,4196983835,490,226
2339,4196983835,116,60
2340,4196983835,303,145
2341,4196983835,448,259
2342,4196983835,1243,873
2343,4196983835,135,59
2344,4196983835,110,40
2345,4196983835,306,143
2346,4196983835,127,46
2347,4196983835,131,47
2348,4196983835,2531,527
